latin_name,common_name,ncbitaxon_uri
Aethusa cynapium,Fools parsley,http://purl.obolibrary.org/obo/NCBITaxon_40954
Agrostis gigantea,Black bent,http://purl.obolibrary.org/obo/NCBITaxon_345916
Alopecurus myosuroides,Black-grass,http://purl.obolibrary.org/obo/NCBITaxon_81473 
Anagallis arvensis,Scarlet pimpernel,http://purl.obolibrary.org/obo/NCBITaxon_4337
Aphanes arvensis,Parsley piert,http://purl.obolibrary.org/obo/NCBITaxon_57945
Arenaria serpyllifolia,Thyme leaved sandwort,http://purl.obolibrary.org/obo/NCBITaxon_254029
Atriplex patula,Common orache,http://purl.obolibrary.org/obo/NCBITaxon_3551
Avena fatua,Spring wild oat,http://purl.obolibrary.org/obo/NCBITaxon_4499
Hordeum vulgare,Barley,http://purl.obolibrary.org/obo/NCBITaxon_4513
Bromus commutatus,Meadow brome,http://purl.obolibrary.org/obo/NCBITaxon_55773
Bromus secalinus,Rye Brome,http://purl.obolibrary.org/obo/NCBITaxon_4502
Capsella bursa-pastoris,Shepherds purse,http://purl.obolibrary.org/obo/NCBITaxon_3719
Cerastium fontanum,Mouse-ear chickweed,http://purl.obolibrary.org/obo/NCBITaxon_230722
Chenopodium album,Fat hen,http://purl.obolibrary.org/obo/NCBITaxon_3559
Cirsium arvense,Creeping thistle,http://purl.obolibrary.org/obo/NCBITaxon_41550
Convolvulus arvensis,Field bindweed,http://purl.obolibrary.org/obo/NCBITaxon_4123
Elymus repens,Couch,http://purl.obolibrary.org/obo/NCBITaxon_52152
Equisetum arvense,Horses tail,http://purl.obolibrary.org/obo/NCBITaxon_3258
Euphorbia exigua,Spurge,http://purl.obolibrary.org/obo/NCBITaxon_756618
Fallopia convolvulus,Black bindweed,http://purl.obolibrary.org/obo/NCBITaxon_76029
Fumaria officinalis,Fumitory,http://purl.obolibrary.org/obo/NCBITaxon_200993
Galeopsis tetrahit,Commom hemp nettle,http://purl.obolibrary.org/obo/NCBITaxon_1000418
Galium aparine,Cleavers,http://purl.obolibrary.org/obo/NCBITaxon_29788
Galium tricornutum,Corn cleavers,http://purl.obolibrary.org/obo/NCBITaxon_715722
Geranium dissectum,Cut leaved cranes-bill,http://purl.obolibrary.org/obo/NCBITaxon_326028
Juncus bufonius,Rush,http://purl.obolibrary.org/obo/NCBITaxon_223656
Lamium purpureum,Red dead nettle,http://purl.obolibrary.org/obo/NCBITaxon_53164
Lathyrus pratensis,Meadow vetchling,http://purl.obolibrary.org/obo/NCBITaxon_254779
Legousia hybrida,Venus's looking glass,http://purl.obolibrary.org/obo/NCBITaxon_368679
Lithospermum arvense,Field gromwell,http://purl.obolibrary.org/obo/NCBITaxon_181181
Medicago lupulina,Black medick,http://purl.obolibrary.org/obo/NCBITaxon_47085
Minuartia hybrida,Fine leaved sandwort,http://purl.obolibrary.org/obo/NCBITaxon_1155345
Myosotis arvensis,Field forget me not,http://purl.obolibrary.org/obo/NCBITaxon_192338
Odontites verna,Red bartsia,http://purl.obolibrary.org/obo/NCBITaxon_644195
Papaver argemone,Prickly poppy,http://purl.obolibrary.org/obo/NCBITaxon_357464
Papaver rhoeas,Common poppy,http://purl.obolibrary.org/obo/NCBITaxon_33128
Poa annua,Annual meadow grass,http://purl.obolibrary.org/obo/NCBITaxon_93036
Poa trivialis,Rough meadow grass,http://purl.obolibrary.org/obo/NCBITaxon_89684 
Polygonum aviculare,Knotgrass,http://purl.obolibrary.org/obo/NCBITaxon_137693
Ranunculus arvensis,Corn buttercup,http://purl.obolibrary.org/obo/NCBITaxon_3445
Rumex obtusifolius,Broad leaved dock,http://purl.obolibrary.org/obo/NCBITaxon_3619
Scandix pecten-veneris,Shepherds needle,http://purl.obolibrary.org/obo/NCBITaxon_40909
Senecio vulgaris,Groundsel,http://purl.obolibrary.org/obo/NCBITaxon_76276
Sinipas arvensis,Perrennial sow thistle,http://purl.obolibrary.org/obo/NCBITaxon_50192
Sisymbrium officinale,Hedge mustard,http://purl.obolibrary.org/obo/NCBITaxon_203582
Sonchus arvensis,Perennial sow thistle,http://purl.obolibrary.org/obo/NCBITaxon_50192
Stellaria media,Chickweed,http://purl.obolibrary.org/obo/NCBITaxon_13274
Trifolium sp.,Clover,http://purl.obolibrary.org/obo/NCBITaxon_3898
Tripleurospermum inodorum,Mayweed,http://purl.obolibrary.org/obo/NCBITaxon_99108
Tussilago farfara,Coltsfoot,http://purl.obolibrary.org/obo/NCBITaxon_118778
Umbelliferae,Umbellifers,http://purl.obolibrary.org/obo/NCBITaxon_4037
Urtica dioica,Nettle,http://purl.obolibrary.org/obo/NCBITaxon_3501
Valerianella dentata,Cornsalad,http://purl.obolibrary.org/obo/NCBITaxon_300936
Veronica arvensis,Wall speedwell,http://purl.obolibrary.org/obo/NCBITaxon_46032
Veronica hederifolia,Ivy leaved speedwell,http://purl.obolibrary.org/obo/NCBITaxon_202477
Veronica persica,Common field speedwell,http://purl.obolibrary.org/obo/NCBITaxon_138560
Veronica sp.,Speedwell,http://purl.obolibrary.org/obo/NCBITaxon_4173 
Vicia faba,Beans (volunteer),http://purl.obolibrary.org/obo/NCBITaxon_3906
Vicia sativa,Common vetch,http://purl.obolibrary.org/obo/NCBITaxon_3908
Viola arvensis,Field pansy,http://purl.obolibrary.org/obo/NCBITaxon_97415
